,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Dr,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,
B-31,100000,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,,,,,,,,,500000
B-33,100000,200000.0,,100000.0,100000.0,,,,,,,,,,,,,,,,,,,,500000
C-01,100000,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,,,,,,,700000
C-04,100000,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,,,,,,,,,500000
C-06,100000,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,,,,,,,,,500000
C-07,100000,100000.0,,,,,,,,,,,,,,,,,,,,,,,200000
C-08,100000,,,,,,,,,,,,,,,,,,,,100000,100000,100000,100000,500000
C-09,,,,,,,,,,,,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1200000
C-10,110000,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,,,,,,,,,,,,,1320000
C-11,100000,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,,,,,,,,,500000
D-01,100000,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,,1200000
D-02,190000,190000.0,190000.0,190000.0,190000.0,,,,,,,,,,,,,,,,,,,,950000
Grand Total,5850000,5915000.0,5515000.0,5510000.0,4050000.0,1710000.0,1110000.0,1010000.0,1010000.0,910000.0,910000.0,810000.0,100000,100000,100000,100000,100000,100000,100000,100000,200000,200000,300000,300000,36110000
