Paguyuban Puri Bunga 2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
                         Laporan Posisi Keuangan Tahun 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per 30  MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKTIVA,,,,,SALDO AWAL,,DR,,CR,,SALDO,,,,,Kas,,SALDO AWAL,LABA/RUGI,NERACA,SALDO AKHIR,,Piutang Kas Kecil,,SALDO AWAL,Dr,Cr,SALDO AKHIR,,Piutang Pembayaran Gaji,,SALDO AWAL,Dr,Cr,SALDO AKHIR,,Piutang Lain-Lain,,SALDO AWAL,Dr,Cr,SALDO AKHIR
,Kas dan Bank,,,,8110500,,0,,0,,13915724,,,,1.0,JANUARI,,8110500,-865500,900000,8145000,1.0,JANUARI,,0,0,0,0,1.0,JANUARI,,0,0,0,0,1.0,JANUARI,,0,0,0,0
,Piutang Kas Kecil,,,,0,,0,,200000,,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Piutang Pembayaran Gaji,,,,0,,500000,,500000,,0,,,,2.0,FEBRUARI,,8145000,663000,2700000,11508000,2.0,FEBRUARI,,0,0,0,0,2.0,FEBRUARI,,0,0,0,0,2.0,FEBRUARI,,0,0,0,0
,Piutang Lain-Lain,,,,0,,0,,0,,0,,,,3.0,MARET,,11508000,-6435000,700000,5773000,3.0,MARET,,0,0,0,0,3.0,MARET,,0,0,0,0,3.0,MARET,,0,0,0,0
,,,,,0,,0,,0,,0,,,,4.0,APRIL,,5773000,440000,1900000,8113000,4.0,APRIL,,0,0,0,0,4.0,APRIL,,0,500000,500000,0,4.0,APRIL,,0,0,0,0
,Jumlah,,,,,,,,,,14115724,,,,5.0,MEI,,8113000,5602724,200000,13915724,5.0,MEI,,0,0,200000,200000,5.0,MEI,,0,0,0,0,5.0,MEI,,0,0,0,0
,,,,,,,,,,,,,,,6.0,JUNI,,13915724,0,0,13915724,6.0,JUNI,,200000,0,0,200000,6.0,JUNI,,0,0,0,0,6.0,JUNI,,0,0,0,0
,,,,,,,,,,,,,,,7.0,JULI,,13915724,0,0,13915724,7.0,JULI,,200000,0,0,200000,7.0,JULI,,0,0,0,0,7.0,JULI,,0,0,0,0
,,,,,,,,,,,,,,,8.0,AGUSTUS,,13915724,0,0,13915724,8.0,AGUSTUS,,200000,0,0,200000,8.0,AGUSTUS,,0,0,0,0,8.0,AGUSTUS,,0,0,0,0
KEWAJIBAN,,,,,,,,,,,,,,,9.0,SEPTEMBER,,13915724,0,0,13915724,9.0,SEPTEMBER,,200000,0,0,200000,9.0,SEPTEMBER,,0,0,0,0,9.0,SEPTEMBER,,0,0,0,0
,Iuran Warga Diterima di muka,,,,0,,6600000,,0,,6600000,,,,10.0,OKTOBER,,13915724,0,0,13915724,10.0,OKTOBER,,200000,0,0,200000,10.0,OKTOBER,,0,0,0,0,10.0,OKTOBER,,0,0,0,0
,Hutang lain-Lain,,,,0,,0,,0,,0,,,,11.0,NOPEMBER,,13915724,0,0,13915724,11.0,NOPEMBER,,200000,0,0,200000,11.0,NOPEMBER,,0,0,0,0,11.0,NOPEMBER,,0,0,0,0
,,,,,,,,,,,,,,,12.0,DESEMBER,,13915724,0,0,13915724,12.0,DESEMBER,,200000,0,0,200000,12.0,DESEMBER,,0,0,0,0,12.0,DESEMBER,,0,0,0,0
,Jumlah,,,,,,,,,,6600000,,,,,,,,-594776,6400000,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODAL,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Awal,,,,,,,,,,8110500,,,,,,,,,,,,Iuran Warga Diterima di muka,,SALDO AWAL,Dr,Cr,SALDO AKHIR,,Hutang lain-Lain,,SALDO AWAL,Dr,Cr,SALDO AKHIR,,,,,,,
,Surplus/Defisit,,,,,,,,,,-594776,,,,,,,,,,,1.0,JANUARI,,0,900000,0,900000,1.0,JANUARI,,0,0,0,0,,,,,,,
,Jumlah,,,,,,7100000,,700000,,7515724,,,,,,,,,,,2.0,FEBRUARI,,900000,2700000,0,3600000,2.0,FEBRUARI,,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3.0,MARET,,3600000,700000,0,4300000,3.0,MARET,,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.0,APRIL,,4300000,1900000,0,6200000,4.0,APRIL,,0,0,0,0,,,,,,,
KEWAJIBAN DAN MODAL,,,,,,,0,,0,,14115724,,,,,,,,,,,5.0,MEI,,6200000,400000,0,6600000,5.0,MEI,,0,0,0,0,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,6.0,JUNI,,6600000,0,0,6600000,6.0,JUNI,,0,0,0,0,,,,,,,
,,,,,,,,,,,"Malang,             Mei 2026",,,,,,,,,,,7.0,JULI,,6600000,0,0,6600000,7.0,JULI,,0,0,0,0,,,,,,,
,,,,,,,,,,,Disusun Oleh,,,,,,,,,,,8.0,AGUSTUS,,6600000,0,0,6600000,8.0,AGUSTUS,,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,9.0,SEPTEMBER,,6600000,0,0,6600000,9.0,SEPTEMBER,,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,10.0,OKTOBER,,6600000,0,0,6600000,10.0,OKTOBER,,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,11.0,NOPEMBER,,6600000,0,0,6600000,11.0,NOPEMBER,,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,12.0,DESEMBER,,6600000,0,0,6600000,12.0,DESEMBER,,0,0,0,0,,,,,,,
,,,,,,,,,,,Andrianto Budiaji,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
